genus,X4.3.2012.abundance,X8.7.2012.abundance,X11.6.2012.abundance,X1.26.2013.abundance,X2.25.2013.abundance,X3.24.2013.abundance,X4.7.2013.abundance,X4.29.2013.abundance,X6.9.2013.abundance,X7.14.2013.abundance,X8.10.2013.abundance,X9.3.2013.abundance,X9.24.2013.abundance,X10.27.2013.abundance,X11.10.2013.abundance,X12.14.2013.abundance,X1.19.2014.abundance,X2.17.2014.abundance,X3.23.2014.abundance,X5.4.2014.abundance,X6.16.2014.abundance,X8.11.2014.abundance,X8.22.2014.abundance,X8.25.2014.abundance,X9.28.2014.abundance,X11.16.2014.abundance,X11.22.2014.abundance,X12.7.2014.abundance,X12.17.2014.abundance,X1.6.2015.abundance,X1.14.2015.abundance,X1.25.2015.abundance,X2.8.2015.abundance,X2.23.2015.abundance
Streptococcus,0.003713,0.006809,0.005767,0.005442,0.010489,0.002887,0.003745,0.002834,0.002987,0.000765,0.000943,0.000106,0.00207,0.000723,0.005964,0.000576,0.000693,0.000871,0.000689,0.003708,5e-05,0.004208,0.001418,0.000198,0.001015,0.000821,0.003374,0.000957,0.00506,0.000441,0.000164,5.2e-05,0.00544,0
Alistipes,0.021619,0.014919,0.012152,0.022184,0.019656,0.015099,0.015312,0.010142,0.007614,0.008106,0.002785,0.0065,0.004761,0.004647,0.006508,0.010815,0.010218,0.019481,0.010637,0.004442,0.004048,0.006396,0.011319,0.013889,0.003645,0.009164,0.005751,0.004348,0.004765,0.009,0.010305,0.013269,0.003812,0.001349
Anaerostipes,0.042101,0.018956,0.030796,0.023543,0.043449,0.012157,0.012887,0.010376,0.009454,0.02394,0.035578,0.013023,0.014463,0.024482,0.011813,0.009584,0.027394,0.025246,0.013162,0.021379,0.02381,0.019273,0.028934,0.011409,0.012078,0.022327,0.025596,0.014865,0.01877,0.006266,0.00527,0.068087,0.034145,0.018129
Anaerosporobacter,0.001078,0.00043,4.5e-05,0.000279,0.000124,0.003553,0.000174,2.6e-05,3.1e-05,0.000484,1.6e-05,0,0,0,0,0,1.6e-05,7.3e-05,0.000765,1.3e-05,0.000315,0,0.00013,0,0.000258,0.000156,0.000558,0.000657,6.4e-05,0.000786,0.000433,0,0,0.000958
Clostridium,0.019763,0.027596,0.043149,0.022592,0.052458,0.036194,0.011115,0.014989,0.011102,0.000668,0.005709,0.00403,0.001582,0.00438,0.000746,0.008381,0.01017,0.012648,0.002908,0.152855,0.004994,0.001767,0.000825,0.007262,0.001549,0.000885,0.041402,0.004509,0.000384,0.005185,0.100464,0.002107,0.002061,0.001806
Butyricimonas,0.00024,0.001766,0.004918,0.001434,0.004103,0.009215,0.006232,0.008501,0.003159,0.001987,0.001761,0.001814,0.002187,0.002264,0.001728,0.004567,0.003117,0.003382,0.00375,0.001702,0.001897,0.007238,0.008554,0.002579,0.004249,0.005909,0.000478,0.003759,0.002218,0.003501,0.006944,0.001743,0.001669,0.000435
Coprobacillus,0,1e-05,0,1.4e-05,0,0,0.000118,0,0,0,0,0,0,2.1e-05,0,9.6e-05,0.000266,0.000674,0,0.000339,0,0,0,6e-05,0,0,0,0,0,0,0.000375,0,0,0
Holdemania,0,0,0.000137,8.8e-05,7.9e-05,0,9e-05,6.9e-05,3.5e-05,4.4e-05,0.000134,0.000134,0.000154,0.000193,6.5e-05,0.000426,0.000474,7.3e-05,0,2.6e-05,5e-05,0,2.9e-05,4e-05,0,0,0,3.5e-05,0,8e-06,2.3e-05,0,0,0
Alkalispirillum,0,0,2.5e-05,6.8e-05,3.4e-05,0,0,0,0,0,0,0,0,0,0,3e-05,0,9.8e-05,0.000115,2.3e-05,2e-05,0,0,0,0,0,0,0,0,0,0.000176,0,0,0
Macellibacteroides,0,1e-05,0,0,0.000226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-06,0.000187,0,0,0
Propionispora,0,4e-05,0,6.1e-05,2.3e-05,0,2.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9e-05,0.000119,6.5e-05,0,0,5.8e-05,1e-05,5.4e-05,2.3e-05,5.2e-05,0,0
Enterobacter,0,3e-05,6e-06,1.4e-05,0.010105,0,0,0,8e-06,0,0,0,0.000149,5.3e-05,0.017777,0.00012,2.1e-05,0,0,4.6e-05,1.5e-05,0,0,0.005417,5.3e-05,8.5e-05,0,0,0,0.028335,0.001534,0,0,0
