family,4.3.2012 abundance,8.7.2012 abundance,11.6.2012 abundance,1.26.2013 abundance,2.25.2013 abundance,3.24.2013 abundance,4.7.2013 abundance,4.29.2013 abundance,6.9.2013 abundance,7.14.2013 abundance,8.10.2013 abundance,9.3.2013 abundance,9.24.2013 abundance,10.27.2013 abundance,11.10.2013 abundance,12.14.2013 abundance,1.19.2014 abundance,2.17.2014 abundance,3.23.2014 abundance,5.4.2014 abundance,6.16.2014 abundance,8.11.2014 abundance,8.22.2014 abundance,8.25.2014 abundance,9.28.2014 abundance,11.16.2014 abundance,11.22.2014 abundance,12.7.2014 abundance,12.17.2014 abundance,1.6.2015 abundance,1.14.2015 abundance,1.25.2015 abundance,2.8.2015 abundance,2.23.2015 abundance
Synergistaceae,0.00012,NA,0.000366,5.4e-05,6.8e-05,NA,NA,NA,NA,1.8e-05,NA,2.3e-05,1.6e-05,1.2e-05,NA,0.000207,0.000101,0.002576,0.000153,4.6e-05,NA,NA,NA,6e-05,2.3e-05,NA,NA,NA,1e-05,1.5e-05,8.2e-05,NA,4.1e-05,NA
Veillonellaceae,0.015152,0.038703,0.002672,0.012169,0.010512,0.007994,0.016166,0.011663,0.000619,0.000668,0.011015,0.012209,0.009092,0.010679,0.005763,0.004321,0.019264,0.002398,0.005586,0.004923,0.003743,0.006733,0.004082,0.00371,0.003222,0.006093,0.002736,0.002422,0.005871,0.002552,0.005879,0.004813,0.005626,0.000609
Clostridiaceae,0.02108,0.028787,0.045522,0.023101,0.05829,0.041745,0.012949,0.015853,0.011627,0.001521,0.00725,0.005168,0.001847,0.004623,0.000922,0.008768,0.01122,0.014503,0.003673,0.153289,0.005645,0.010015,0.001824,0.009187,0.003932,0.002873,0.043262,0.007334,0.001234,0.011257,0.104785,0.003096,0.00375,0.003765
Halanaerobiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-06,NA,NA,NA,NA,NA,NA,NA,NA,2e-05,3.1e-05,4.7e-05,NA,NA,0.000109
Actinomycetaceae,NA,2.5e-05,0.000153,6.1e-05,0.000384,0.000111,0.000222,9.5e-05,0.000106,1.8e-05,4.9e-05,NA,2.1e-05,0.000937,2e-05,5.1e-05,9.1e-05,0.000244,7.7e-05,0.000826,2e-05,NA,7.2e-05,0.000119,3.5e-05,5e-05,NA,NA,NA,5.4e-05,NA,5.2e-05,8.2e-05,4.4e-05
Micrococcaceae,NA,4e-05,6e-06,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,8e-06,NA,NA,1.1e-05,1.8e-05,NA,7e-06,NA,NA,2.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodocyclaceae,NA,NA,2.2e-05,NA,NA,NA,2.8e-05,NA,1.6e-05,NA,8e-06,9e-06,1.1e-05,8e-06,1e-05,NA,1.1e-05,7e-06,NA,7e-06,1e-05,NA,NA,NA,3.5e-05,1.4e-05,5.3e-05,2.3e-05,NA,2.3e-05,NA,NA,4.1e-05,0.000261
Caulobacteraceae,NA,1e-05,2.2e-05,NA,2.3e-05,NA,8.3e-05,0.00051,5.5e-05,NA,NA,2.3e-05,1.6e-05,2.9e-05,6.5e-05,2.1e-05,1.6e-05,7e-06,NA,NA,2.5e-05,0.000168,NA,7.9e-05,5.9e-05,4.2e-05,0.000173,9.2e-05,1e-05,1.9e-05,NA,0.001639,0.000144,0.000174
Oceanospirillaceae,NA,5.5e-05,NA,NA,NA,NA,2.1e-05,NA,NA,NA,NA,9e-06,1.1e-05,8e-06,NA,NA,1.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000106,NA,1e-05,NA,NA,NA,NA,NA
Acholeplasmataceae,NA,1e-05,1.6e-05,NA,NA,0.001332,1.4e-05,3.5e-05,NA,NA,NA,1.9e-05,2.1e-05,NA,4.5e-05,9e-06,1.1e-05,2.2e-05,NA,NA,NA,NA,5.8e-05,NA,NA,NA,NA,NA,3e-05,NA,NA,NA,0.000124,NA
